Date,Price
29/12/2021,27.1794
28/12/2021,27.1747
24/12/2021,27.2492
23/12/2021,27.1997
22/12/2021,27.2745
21/12/2021,27.1418
20/12/2021,27.2704
17/12/2021,27.2642
16/12/2021,27.1748
15/12/2021,27.1495
14/12/2021,27.0597
13/12/2021,26.9344
10/12/2021,26.8698
9/12/2021,26.9998
8/12/2021,27.1498
7/12/2021,27.2698
6/12/2021,27.2492
3/12/2021,27.3288
2/12/2021,27.1992
1/12/2021,27.3492
30/11/2021,27.1492
29/11/2021,27.2714
26/11/2021,27.1191
25/11/2021,27.0496
24/11/2021,26.9695
23/11/2021,26.829
22/11/2021,26.7948
19/11/2021,26.5398
18/11/2021,26.5192
17/11/2021,26.4191
16/11/2021,26.4793
15/11/2021,26.3342
12/11/2021,26.2642
11/11/2021,26.1006
10/11/2021,26.089
9/11/2021,26.0498
8/11/2021,26.075
5/11/2021,26.1094
4/11/2021,26.0999
3/11/2021,26.2494
2/11/2021,26.2497
1/11/2021,26.2997
29/10/2021,26.2597
28/10/2021,26.2992
27/10/2021,26.3393
26/10/2021,26.3846
25/10/2021,26.3693
22/10/2021,26.2845
21/10/2021,26.3193
20/10/2021,26.1749
19/10/2021,26.2292
18/10/2021,26.2799
13/10/2021,26.3698
12/10/2021,26.3448
11/10/2021,26.3395
8/10/2021,26.3595
7/10/2021,26.2796
6/10/2021,26.3391
5/10/2021,26.3599
4/10/2021,26.4794
1/10/2021,26.6294
30/09/2021,26.5741
29/09/2021,26.5701
28/09/2021,26.5278
27/09/2021,26.5699
24/09/2021,26.6995
23/09/2021,26.6091
22/09/2021,26.5693
21/09/2021,26.6994
20/09/2021,26.6848
17/09/2021,26.6715
16/09/2021,26.6828
15/09/2021,26.6291
14/09/2021,26.6293
13/09/2021,26.66
10/9/2021,26.7197
9/9/2021,26.6599
8/9/2021,26.7498
7/9/2021,26.7191
6/9/2021,26.7641
3/9/2021,26.8591
2/9/2021,26.9466
1/9/2021,27.0197
31/08/2021,26.8991
30/08/2021,26.7993
27/08/2021,26.8791
26/08/2021,26.8447
25/08/2021,26.6999
20/08/2021,26.6595
19/08/2021,26.6543
18/08/2021,26.6148
17/08/2021,26.6693
16/08/2021,26.7398
13/08/2021,26.6449
12/8/2021,26.7203
11/8/2021,26.8475
10/8/2021,26.7796
9/8/2021,26.6897
6/8/2021,26.7694
5/8/2021,26.8798
4/8/2021,26.8892
3/8/2021,26.8597
2/8/2021,26.859
30/07/2021,26.7894
29/07/2021,26.8498
28/07/2021,26.8898
27/07/2021,26.8946
26/07/2021,26.9191
23/07/2021,27.0342
22/07/2021,27.1293
21/07/2021,27.1993
20/07/2021,27.2091
19/07/2021,27.1992
16/07/2021,27.219
15/07/2021,27.2548
14/07/2021,27.2697
13/07/2021,27.249
12/7/2021,27.2694
9/7/2021,27.2696
8/7/2021,27.2796
7/7/2021,27.2099
6/7/2021,27.2991
5/7/2021,27.2846
2/7/2021,27.3499
1/7/2021,27.3494
30/06/2021,27.2592
29/06/2021,27.1893
25/06/2021,27.2992
24/06/2021,27.4995
23/06/2021,27.25
22/06/2021,27.339
18/06/2021,27.2416
17/06/2021,27.2199
16/06/2021,27.0894
15/06/2021,27.0297
14/06/2021,26.8895
11/6/2021,26.9997
10/6/2021,27.089
9/6/2021,27.0846
8/6/2021,27.0773
7/6/2021,27.214
4/6/2021,27.2296
3/6/2021,27.2844
2/6/2021,27.2999
1/6/2021,27.4093
31/05/2021,27.4597
28/05/2021,27.4899
27/05/2021,27.4993
26/05/2021,27.5244
25/05/2021,27.486
24/05/2021,27.3799
21/05/2021,27.414
20/05/2021,27.4594
19/05/2021,27.3997
18/05/2021,27.3994
17/05/2021,27.5146
14/05/2021,27.5248
13/05/2021,27.6094
12/5/2021,27.5992
11/5/2021,27.5498
7/5/2021,27.7297
6/5/2021,27.7292
5/5/2021,27.7272
30/04/2021,27.7895
29/04/2021,27.7099
28/04/2021,27.7618
27/04/2021,27.74
26/04/2021,27.8161
23/04/2021,27.9293
22/04/2021,27.8992
21/04/2021,28.0698
20/04/2021,28.0098
19/04/2021,27.95
16/04/2021,27.969
15/04/2021,27.95
14/04/2021,27.9019
13/04/2021,28.07
12/4/2021,27.9417
9/4/2021,27.9093
8/4/2021,27.89
7/4/2021,27.9143
6/4/2021,27.7771
5/4/2021,27.8196
2/4/2021,28.0146
1/4/2021,27.85
31/03/2021,27.8198
30/03/2021,27.8096
29/03/2021,27.9294
26/03/2021,27.9798
25/03/2021,27.9697
24/03/2021,27.9399
23/03/2021,27.7445
22/03/2021,27.6594
19/03/2021,27.68
18/03/2021,27.66
17/03/2021,27.67
16/03/2021,27.68
15/03/2021,27.59
12/3/2021,27.699
11/3/2021,27.7
10/3/2021,27.73
9/3/2021,27.7295
5/3/2021,27.755
4/3/2021,27.68
3/3/2021,27.7497
2/3/2021,27.89
1/3/2021,27.95
26/02/2021,27.95
25/02/2021,27.87
24/02/2021,27.9544
23/02/2021,27.9095
22/02/2021,27.8797
19/02/2021,27.8492
18/02/2021,27.8291
17/02/2021,27.8
16/02/2021,27.87
15/02/2021,27.7496
12/2/2021,27.8995
11/2/2021,27.75
10/2/2021,27.87
9/2/2021,27.6824
8/2/2021,27.6193
5/2/2021,27.6791
4/2/2021,27.8
3/2/2021,27.9095
2/2/2021,27.9991
1/2/2021,28.0491
29/01/2021,28.1
28/01/2021,28.1299
27/01/2021,28.14
26/01/2021,28.165
25/01/2021,28.1347
22/01/2021,28.15
21/01/2021,28.19
20/01/2021,28.2
19/01/2021,28.15
18/01/2021,28.2
15/01/2021,28.0994
14/01/2021,28.0572
13/01/2021,28.0212
12/1/2021,27.999
11/1/2021,28.119
6/1/2021,28.2432
5/1/2021,28.42
4/1/2021,28.429
1/1/2021,28.4753
30/12/2020,28.3
29/12/2020,28.15
28/12/2020,28.25
24/12/2020,28.35
23/12/2020,28.3
22/12/2020,28.399
21/12/2020,28.1
18/12/2020,27.999
17/12/2020,27.799
16/12/2020,27.8
15/12/2020,27.72
14/12/2020,27.84
11/12/2020,27.94
10/12/2020,28.029
9/12/2020,28.07
8/12/2020,28.1
7/12/2020,28.1
4/12/2020,28.25
3/12/2020,28.26
2/12/2020,28.31
1/12/2020,28.499
30/11/2020,28.48
27/11/2020,28.51
26/11/2020,28.4491
25/11/2020,28.429
24/11/2020,28.339
23/11/2020,28.359
20/11/2020,28.31
19/11/2020,28.365
18/11/2020,28.17
17/11/2020,28.129
16/11/2020,28.1
13/11/2020,28.11
12/11/2020,28.159
11/11/2020,28.189
10/11/2020,28.164
9/11/2020,28.094
6/11/2020,28.139
5/11/2020,28.1991
4/11/2020,28.339
3/11/2020,28.529
2/11/2020,28.619
30/10/2020,28.499
29/10/2020,28.444
28/10/2020,28.394
27/10/2020,28.362
26/10/2020,28.314
23/10/2020,28.304
22/10/2020,28.274
21/10/2020,28.229
20/10/2020,28.299
19/10/2020,28.374
16/10/2020,28.354
15/10/2020,28.335
14/10/2020,28.32
13/10/2020,28.32
12/10/2020,28.294
9/10/2020,28.24
8/10/2020,28.209
7/10/2020,28.32
6/10/2020,28.339
5/10/2020,28.39
2/10/2020,28.3655
1/10/2020,28.34
30/09/2020,28.28
29/09/2020,28.3212
28/09/2020,28.25
25/09/2020,28.28
24/09/2020,28.253
23/09/2020,28.2
22/09/2020,28.1757
21/09/2020,28.215
18/09/2020,28.16
17/09/2020,28.13
16/09/2020,28.035
15/09/2020,28
14/09/2020,27.964
11/9/2020,27.929
10/9/2020,27.835
9/9/2020,27.824
8/9/2020,27.74
7/9/2020,27.765
4/9/2020,27.739
3/9/2020,27.669
2/9/2020,27.634
1/9/2020,27.549
31/08/2020,27.544
28/08/2020,27.449
27/08/2020,27.48
26/08/2020,27.43
25/08/2020,27.37
24/08/2020,27.44
21/08/2020,27.44
20/08/2020,27.299
19/08/2020,27.434
18/08/2020,27.3
17/08/2020,27.24
14/08/2020,27.32
13/08/2020,27.3
12/8/2020,27.499
11/8/2020,27.56
10/8/2020,27.57
7/8/2020,27.625
6/8/2020,27.71
5/8/2020,27.6975
4/8/2020,27.7695
3/8/2020,27.8725
31/07/2020,27.725
30/07/2020,27.703
29/07/2020,27.635
28/07/2020,27.74
27/07/2020,27.7
24/07/2020,27.855
23/07/2020,27.7875
22/07/2020,27.8608
21/07/2020,27.78
20/07/2020,27.65
17/07/2020,27.4322
16/07/2020,27.375
15/07/2020,27.21
14/07/2020,27.075
13/07/2020,27.13
10/7/2020,27.075
9/7/2020,26.9447
8/7/2020,26.9312
7/7/2020,26.94
6/7/2020,26.95
3/7/2020,27.125
2/7/2020,27.235
1/7/2020,26.9121
30/06/2020,26.695
29/06/2020,26.7252
26/06/2020,26.7252
25/06/2020,26.725
24/06/2020,26.695
23/06/2020,26.585
22/06/2020,26.6575
19/06/2020,26.7275
18/06/2020,26.725
17/06/2020,26.8
16/06/2020,26.765
15/06/2020,26.82
12/6/2020,26.755
11/6/2020,26.68
10/6/2020,26.59
9/6/2020,26.645
8/6/2020,26.5798
5/6/2020,26.5798
4/6/2020,26.6333
3/6/2020,26.7463
2/6/2020,26.7875
1/6/2020,26.795
29/05/2020,26.9
28/05/2020,26.9137
27/05/2020,26.9725
